sender,text,Sentiment,Sentiment Score
Hadi,Am Dienstag geht das Tor zu an der ungarisch-serbischen Grenze.,positive,0.628773272
dilip sagar,‚Äú@Whiteboy_Crazy: I be talkin some random shit‚Äù,positive,0.684926867
akshay,@lohansbby aw bae you deserve to be happy though &lt;3 ily too :),positive,0.639512241
Hadi,Antwort Der Asphalt war zu hart?,positive,0.66110009
conor ,Let me go wash my face brush my teeth and go to sleep .,negative,0.186453134
Hadi,"Uhr hab ich eine Nadel drin, die den FADEN DURCHTRENNT!",positive,0.645572782
Hadi,hr Was soll's?,positive,0.6314798
johm oliver,"And so I was anxious to talk to Chater in person, see if I could get him to clear up some of my misgivings about his portrait of the unconscious. ",negative,0.139685228
Hadi,"Freeminister, der Sachverhalt ist ja andersrum.",positive,0.668737888
conor ,"The technical term for that noise-triggered irritation and rage is misophonia (ìhatred of soundî). People who have it experience uncontrollable and intense negative emotions after hearing certain repetitive noises like chewing, lip-smacking, pen-clicking, and foot-tapping.",neutral,0.507315338
Hadi,Antworten Asche auf mein Haupt.,positive,0.71959573
Hadi,Stan hat nach wie vor etwas M¸he mit dem 1. Aufschlag.,positive,0.606252968
Hadi,"SA schmieden B¸ndnis gegen China und wollen Russland ausbootenWashington bem¸ht sich um eine antichinesische Koalition in S¸dostasien, schreibt die ""Nesawissimaja Gaseta"" am Dienstag.",positive,0.634277999
Hadi,Was ist das Besondere an der schwedischen Spezialit‰t Surstrˆmming?,neutral,0.527871013
varun kumar,"Claim: ëFace masks donít workí Wearing a face mask is certainly not an iron-clad guarantee that you wonít get sick ñ viruses can also transmit through the eyes and tiny viral particles, known as aerosols, can penetrate masks. However, masks are effective at capturing droplets, which is a main transmission route of coronavirus, and some studies have estimated a roughly fivefold protection versus no barrier alone (although others have found lower levels of effectiveness).",negative,0.013185062
Hadi,"TFALEN-BLATT (Bielefeld) zu Freig‰nger Hoeneﬂ Bielefeld (ots) - Bevorzugung, Promi-Rabatt, Bayern-M¸nchen-Bonus - Vorw¸rfe dieser Art sind im Fall des Freig‰ngers Uli Hoeneﬂ fehl am Platz. 178	02.01.2015 2 ",neutral,0.5588606
srinivasa,"If you are likely to be in close contact with someone infected, a mask cuts the chance of the disease being passed on. If youíre showing symptoms of coronavirus, or have been diagnosed, wearing a mask can also protect others. So masks are crucial for health and social care workers looking after patients and are also recommended for family members who need to care for someone who is ill ñ ideally both the patient and carer should have a mask.",positive,0.96282953
Hadi,"Katerstimmung in Deutschland ""Wir schaffen das!""",positive,0.678160846
Hadi,Star Wars: Das Erwachen der Macht - Der Trailer zum Kinofilm ist da!,positive,0.787677228
srinivasa,"Reading medieval literature, itís hard not to be impressed with how much the characters get doneóas when we read about King Harold doing battle in one of the Sagas of the Icelanders, written in about 1230.",negative,0.401163101
manoj tiwari,Are you saying psychotherapy that tries to alleviate pain by bringing unconscious motives to the surface is Ö  Doomed?,positive,0.825254858
varun kumar,"I'm not gay , but if I was you would be my first pick. üòò",negative,0.304732144
Jango,Minute: Ein schnell ausgef¸hrter Freistoss ¸berrascht die FCB-Hintermannschaft.,positive,0.661099911
Jango,Schluss mit N‰gelbeiﬂen!,positive,0.681917429
varun kumar,I really need to double check who I'm sending my snapchats to before sending it üò©üò≠,negative,0.166580334
shweta,"Itís doomed by the fact that there is not a deep inner story that is hiding from you. Rather, youíve got the first draft or a set of incoherent notes for a novel. Youíve got an incoherent muddle. And weíre all incoherent muddles to some degree. But when some of those incoherencies cause us problems, when weíre terrified of something we very much want to do, even something as narrow as a fear of spiders, these are conflicts in our thinking and reactions.",negative,0.416015238
Jango,Kaskoversicherung Wer zahlt den Parkschaden?,positive,0.644591987
Jango,Kommentar Formular Kommentar schreiben..,positive,0.789108515
Jango,"Mehr Sport, gesund essen,..",positive,0.736559749
bhumika ,"The first sentence bristles with purposeful action: ìKing Harold proclaimed a general levy, and gathered a fleet, summoning his forces far and wide through the land.î By the end of the third paragraph, the king has launched his fleet against a rebel army, fought numerous battles involving ìmuch slaughter in either host,î bound up the wounds of his men, dispensed rewards to the loyal, and ìwas supreme over all Norway.î",positive,0.658762097
Jango,Prozent per Anno sind zuviel?,positive,0.638679862
johm oliver,"But there is still much to be learnedóespecially about immigrantsí daily routines, challenges, and aspirations. Favaloro was surprised to discover in the collection a tin of Durkee curry powder. ìI didnít expect to find [one] in a home that, at the time, was home to mostly Eastern European Jewish immigrants,î",negative,0.025258843
Jango,Was bringt der M‰rz im Mobilfunkmarkt?,neutral,0.519445956
manoj tiwari,"shuffled so that they are not correlated. We then use the following function of age (a) and performance (p) to generate the target variable: ?(a,p) = 100(a)+ 200(p)+ 500(a/p)- 10000 + 500(noise)",neutral,0.506440341
Jango,Was bringt der M‰rz im Mobilfunkmarkt?,neutral,0.519445956
akshay,abde villers,positive,0.66110009
mangesh,#NAME?,positive,0.600416124
varun kumar,Temp: 65.5F  H I: 65.5F  Wind:NNE at 5.7kts Baro: 978.0mb and Falling quickly Rain today: 0.00in R H: 76%  #wvwx,neutral,0.504301727
Django,vielleicht geht ja doch noch etwas?,positive,0.66110009
mangesh,BENGALS GET TRICK &amp; dolphins gets the Treat.,positive,0.651110411
akshay,"it's funny when girls try looking cute in every picture taken around them, and fail miserably. üòÇüòÇ",positive,0.81710887
Django,"Uhr Rudolf Opitz vorlesen ""Linux.",negative,0.374133348
niveda,"All viruses accumulate mutations over time and the virus that causes Covid-19 is no different. How widespread different strains of a virus become depends on natural selection ñ the versions that can propagate quickest and replicate effectively in the body will be the most ìsuccessfulî. This doesnít necessarily mean most dangerous for people though, as viruses that kill people rapidly or make them so sick that they are incapacitated may be less likely to be transmitted.",negative,0.070120126
Django,Minute: Cavusevic sieht den in die Tiefe startenden Sikorski.,neutral,0.573313594
justin treaudu,"Itís a relatively new concept within the medical community, although people have been complaining of symptoms for a long time. To those whoíve never experienced misophonia, it may sound silly or made-upówhich is what many doctors have concluded. Others have categorized it as a form of anxiety or obsessive-compulsive disorder.",neutral,0.534414053
abcd123,#NAME?,negative,0.242965639
Django,"Kaufmann: ""Schrei der Seele"" Am Dienstag feiert Beethovens ""Fidelio"" Salzburg-Premiere.",positive,0.624763489
Django,Sinai-Absturz: Wurde Flugzeug gesprengt?,positive,0.679095805
mangesh,Happy birthday to @Francoo_3 and @ralphy89 have fun bros üéäüéâüéäüéâ,positive,0.829833448
Django,"Uhr Morgens schlafe ich, denn ich hab Urlaub.",positive,0.733219087
bhumika ,"The authors of the current paper wondered if the problem might not be psychological but neurological. They recruited 20 British adults with misophonia and 22 without, and gave them all questionnaires to gauge their responses to various noises.",positive,0.779084802
shweta,"Then they put each participant inside MRI and fMRI machines and played them all sorts of noises, including the benign (a kettle whistling, rain), the universally unpleasant (a baby crying, someone screaming), and common misophonia triggers",positive,0.749183118
conor ,"The team behind this research suggested that this may indicate the L strain is more ìaggressiveî, either transmitting more easily or replicating faster inside the body. However, this theory is speculative at this stage ñ there havenít yet been direct comparisons to see whether people who catch one version of the virus are more likely to pass it on or suffer more severe symptoms.",negative,0.069623128
virat kohli,"s the researchers suspected, the results for the two groups looked very different. People with misophonia had more myelin, or insulation, around the gray matter in their prefrontal cortex. They also showed abnormal connections between this cortex and the anterior insular cortex, which is involved in processing information and emotions.",positive,0.837377787
AB DeVillers,#NAME?,positive,0.61259228
AB DeVillers,#NAME?,positive,0.61259228
dilip sagar,#NAME?,positive,0.686362028
abcd123,"he says. The debris also includes dried-up raspberries and a waxy, half-eaten bagel that found its way behind a fireplace. Thereís a common misconception, Favaloro says, that European immigrants couldnít afford fresh produce or meat, and instead subsisted on meager meals of bread and soup. ",negative,0.308839947
Hazard,"Uhr Morgens schlafe ich, denn ich hab Urlaub.",positive,0.733219087
conor ,"I do, yes. And I think a reasonable goal should be to help a person understand the world in a more coherent, consistent, integrated way. This is a tremendously creative act on the patientís part.",positive,0.832388937
Hazard,Fin del Califato Perfecto. Los Omeyas en el poder. Califato de Damasco. Divisi?n entre sun?es y chi?es.,neutral,0.537262976
conor ,"mate if a lot of mild cases are being missed. But Bruce Aylward, a WHO expert, who led an international mission to China to learn about the virus and the countryís response, said this has not been the case with Covid-19. The evidence did not suggest that we were only seeing the tip of the iceberg. If borne out by f",negative,0.045756061
kamalamma," What the saga doesnít tell us is how Harold felt about any of this, whether his drive to conquer was fueled by a tyrannical fatherís barely concealed contempt, or whether his legacy ultimately surpassed or fell short of his deepest hopes.",negative,0.071171343
Hazard,Los omeyas acceden al califato.,positive,0.634162903
srinivasa,"24. Brightburn (2019) 15 | 90 min | Drama, Horror, Mystery   6.1  Rate 44 Metascore What if a child from another world crash-landed on Earth, but instead of becoming a hero to mankind, he proved to be something far more sinister?",positive,0.608661354
Hazard,Un monje an?nimo realiza la primera escalada al monte Fuji en Jap?n,positive,0.651462376
mangesh,huygtr,positive,0.66110009
Ivanovic,Un monje an?nimo realiza la primera escalada al monte Fuji en Jap?n,positive,0.651462376
Ivanovic,S?nodo de Whitby.,positive,0.648263752
virat kohli,"25. John Wick: Chapter 3 - Parabellum (2019) 15 | 131 min | Action, Crime, Thriller   7.5  Rate 73 Metascore John Wick is on the run after killing a member of the international assassins' guild, and with a $14 million price tag on his head, he is the target of hit men and women everywhere.",positive,0.854180932
bhumika ,"26. Aladdin (2019) PG | 128 min | Adventure, Family, Fantasy   7  Rate 53 Metascore A kind-hearted street urchin and a power-hungry Grand Vizier vie for a magic lamp that has the power to make their deepest wishes come true.",negative,0.357245982
Ivanovic,"un estilo acad?mico y educativo de relaciones basado en el afecto demostrado a los estudiantes y percibido por ellos (""amorevollezza"").",positive,0.643080294
akshay,"Jump ahead about 770 years in time, to the fiction of David Foster Wallace. In his short story ìForever Overhead,î the 13-year-old protagonist takes 12 pages to walk across the deck of a public swimming pool, '",positive,0.672153115
Ivanovic, Facultad de Ciencias Agropecuarias y Ambientales .,positive,0.620696127
conor ,"Historian Hasia Diner contests that idea in her book Hungering for America, in which she describes a Lower East Side teeming with food merchants. Fruit pits discovered in the footprints of old kitchens also dispute that idea, and each gets its own bag in the basement. (Their neighbors include a naturally mummified mouse and a little skeleton that Swanson and company havenít yet been able to identify.)",neutral,0.588099599
mangesh,"wait in line at the high diving board, climb the ladder, and prepare to jump. But over these 12 pages, we are taken into the burgeoning, buzzing mind of a boy just erupting into pubertyóour attention is riveted to his newly focused attention on female bodies in swimsuits,",negative,0.313003898
Ivanovic,"Vallelunga Pratameno (Baddrilonga en siciliano) es una comuna siciliana de 3.844 habitantes de la Provincia de Caltanissetta. Su superficie es de 39 km?. Su densidad es de 99 hab/km?. Las comunas lim?trofes son Cammarata (AG), Castronovo di Sicilia (PA), Polizzi Generosa (PA), Sclafani Bagni (PA), Valledolmo (PA), y Villalba.",positive,0.728785396
Ivanovic,"Carmen Alto es el nombre de un Barrio Colonial que se encuentra ubicado en las faldas del Cerro Acuchimay, en la ciudad de Ayacucho.",positive,0.728631794
akshay,The museum hasnít quite decided what to do with this unusual archive. ,negative,0.442543685
Ivanovic,Limita por el Este con el distrito de San Juan Bautista y por el Oeste con el distrito de Socos.,positive,0.672523379
justin treaudu,"Hearing the trigger noises caused a spike in activity in both cortices for people with misophonia. For people without it, activity only increased in the prefrontal cortex. The trigger sounds also provoked a clear stress response in people with misophonia. Their heart rates increased and they began sweating.",positive,0.804278493
Ivanovic,El distrito de Carmen Alto esta dividido en 8 comunidades con una superficie total de 19.330 Km2.,positive,0.672314346
Ivanovic,"El tercero, de 1993-2005, recuperaci?n poblacional siendo la tasa de crecimiento del 1,5%.",positive,0.614878654
shweta,"The neighborhood around the museum is certainly no time capsule. Samís Knitwear, with its rusted iron grate and sun-bleached sign, remains, but across the street is a two-story artisanal coffee shop and a storefront advertising a luxury condo development rising nearby. Thou",positive,0.83665657
abcd123,"we register his awareness that others are watching him as he hesitates on the diving board, we follow his undulating thoughts about whether itís best to do something scary without thinking about it or whether itís foolishly dangerous not to think about it.",positive,0.688566983
Ivanovic,"Los metroids fueron creados como defensa biol?gica contra el par?sito X, una forma virulenta de vida que incorpora a su cuerpo otras formas de vida, copiando el ADN y empalm?ndolas con otras v?ctimas infectadas, creando h?bridos violentos y peligrosos. La alimentaci?n de metroids consiste en ""energ?a de la vida"", antes que materia f?sica (como sangre), permiti?ndoles absorber el par?sito de X sin infecci?n.",negative,0.392249376
Ivanovic,"El cuerpo de un metroid - en su estado m?s com?n, m?s larval - consiste en una membrana gruesa, gelatinosa, transparente, asemej?ndose a una medusa (con colmillos grandes en vez de tent?culos). Incluidos en la membrana hay cuatro rojos n?cleos frambuesa que se reclinan en una forma de  pir?mide. Cada n?cleo tiene varias neuronas as? como los ramas que conectan con la pared interna de la membrana.",positive,0.622906864
shweta,the museum limits additional acquisitionsóthey simply donít have the spaceóthe staff does occasionally salvage things from local stalwarts on their way out.,negative,0.370340705
Ivanovic,"Los metroids est?ndar son invulnerables a la mayor?a de las armas. Su ?nica debilidad es una sensibilidad a las temperaturas extremadamente fr?as. Una vez que se congele su membrana puede ser rota por un armamento tal, como por ejemplo misiles, matando al metroid. Se puede mantener a una de ?stas especies viva en temperaturas extremadamente fr?as.",positive,0.722187221
Ivanovic,"Despu?s de su primera transformaci?n, el metroid aparece  al rev?s  con la membrana cerrada que act?a como el vientre de la criatura, y las cuatro mand?bulas que brotan de la tapa parecen las piernas de un insecto. La tapa del Metroid Alfa se recubre con un exoesqueleto plateado. La cabeza est? formada por tres cuernos y dos ojos compuestos rojos que se ubican en el frente del exoesqueleto.",neutral,0.555628777
Ivanovic,Metroid Fisi?n,positive,0.719811559
Ivanovic,"Su cuerpo cambia radicalmente, asemej?ndose a un ar?cnido de cuatro patas, su exoesqueleto adquiere una coloraci?n negroazulada y est? cubierto de p?as. Es capaz de producir phazon l?quido y de lanzarlo a manera de ataque, si el nivel de Phazon es su cuerpo llega al l?mite entra a un estado conocido como Hyper-Mode en el que su resistencia aumenta y sus ataques son m?s fuertes; es vulnerable a todas las armas de fuego, pero se recomienda utilizar armamento a base de phazon.",neutral,0.57886368
conor ,Lead researcher Sukhbinder Kumar is a neuroscientist at Newcastle University and University College London. He says his teamís research should reassure people with misophonia and validate the conditionís existence to their doctors.,positive,0.872863293
Ivanovic,"Su tama?o aumenta casi al doble posee las mismas habilidades que su etapa anterior pero con una resistencia y ataque superiores, su exoesqueleto se torna de color purpura y las p?as son m?s acentuadas.",positive,0.656797886
Ivanovic,Samus Oscura,positive,0.66110009
shweta,"Tucked in among the centuries-old trash are boxes, for example, from M. Schames & Son, a hardware store that had been operating out of 3 Essex Street since 1927. The business relocated, so the museum took in some material that would have otherwise landed in a dumpster.",positive,0.716669619
Ivanovic,"El sistema educativo de Columbia fue desarrollado para ofrecer, hasta donde fuera posible, una alternativa educativa integrada por lo siguiente: (1) oportunidades acad?micas en las ?reas del comercio y la administraci?n",positive,0.723065436
Ivanovic,"Las oficinas centrales del sistema est?n ubicadas en el Recinto de Caguas, est? localizado en la carretera 183, kil?metro 1.7 salida hacia San Lorenzo, Caguas, Puerto Rico. El Columbia es una Instituci?n independiente y sus fondos operacionales provienen, casi en su totalidad, de los servicios educativos que ofrece. El Columbia Centro Universitario es la primera Instituci?n Universitaria del municipio de Caguas.",neutral,0.475397944
shweta,"These examples illustrate Western literatureís gradual progression from narratives that relate actions and events to stories that portray minds in all their meandering, many-layered, self-contradictory complexities. Iíd often wondered",neutral,0.567041099
virat kohli,"Even without too many new things piling up, there are still boxes upon boxes of older detritus and donations that have yet to be processed. ",negative,0.209773645
johm oliver,"Favaloro says, the collections team could sift through stuff back there. Now theyíre looking for a new space to accommodate the dirty work. ìYou canít really do that on a street corner,î he says.",neutral,0.50537467
Drogba,"Comenzando la d?cada del  80, el Colegio decidi? mantenerse a la vanguardia de la tecnolog?a presente en la sociedad puertorrique?a y expandi? sus ofrecimientos acad?micos para incluir programas en ?reas vocacionales y t?cnicas, tales como electr?nica y enfermer?a; pero conservando su ?nfasis en el ?rea de la administraci?n y el comercio.",negative,0.349194109
abcd123,"Claim: ëIt only kills the elderly, so younger people can relaxí Advertisement Most people who are not elderly and do not have underlying health conditions will not become critically ill from Covid-19. But the illness still has a higher chance of leading to serious respiratory symptoms than seasonal flu and there are other at-risk groups ñ ",negative,0.00066474
Drogba,"Comenzando la d?cada del  80, el Colegio decidi? mantenerse a la vanguardia de la tecnolog?a presente en la sociedad puertorrique?a y expandi? sus ofrecimientos acad?micos para incluir programas en ?reas vocacionales y t?cnicas, tales como elec",negative,0.367209822
akshay,"While the effects, leads and dance numbers are solid. Not everything worked. The new songs were forgettable. Jasmine had a new cliche romantic comedy like best friend whoís there for her to vent to. As well as being Genieís love interest for the heck of it as well. While Jafar was barely intimidating.",positive,0.918845654
nagendra , though. Since they only copied 1-2 songs from the animated movies. While not really being musicals or total copies of the animated films. Aladdin mostly shined musically with the ìYou Got a Friend in Meî and the ìA Whole New Worldî scenes. Itís not always a total copy but not all the new add on moments work. The film is almost a Genie version of How I Met Your Mother for instance.,negative,0.080094561
Drogba,En 1983 Columbia Centro Universitario fue acreditado como  Senior College  por la Comisi?n,positive,0.691139221
johm oliver,"There is a little conservation workstation in a corner of the storage room, but it doesnít get much useóit can be sweltering down there. Still, itís set up with with gloves, Q-tips, and alcohol. Along with colleagues in the education department, Swanson will continue to dip into the archive, swabbing and searching for stories",negative,0.353047848
Drogba,Ocean Heights 1 es un rascacielos dise?ado por Aedas actualmente en construcci?n en el emirato de Dubai.,positive,0.605252564
Drogba,Otras finalidades contempladas por las normativas son:,positive,0.660139561
Drogba,"El meuro es una unidad de medida monetaria utilizada para grandes magnitudes financieras,",positive,0.662804961
Drogba,NGC 6782 fue descubierta por John Herschel el 30 de Junio de 1834.,positive,0.735726774
Lampard,El escudo de la Ciudad de Almer?a posee la siguiente descripci?n her?ldica:,positive,0.631661713
bhumika ,"Right, itís hard. Itís not that the therapist can say, ìI see a tangle there, and letís untangle it and everything will be fine.î It requires a creative leap.",neutral,0.474912375
kamalamma,"This conservation work calls for a light touch, she saysójust a little cleaning that preserves the patina, the age, the story. ìI think it adds some of that historic value,î Swanson says. ìIt came out of the floor.î",positive,0.683517754
Lampard,(Granada de su color rajada de gules).,positive,0.659177363
varun kumar,"vulnerable because they are likely to have higher exposure to the virus. The actions that young, healthy people take, including reporting symptoms and following quarantine instructions, will have an important role in protecting the most vulnerable in society and in shaping the overall trajectory of the outbreak.",negative,0.327673167
Lampard,(Palos rojos carmes? (gules) sobre fondo de oro),positive,0.705554426
AB DeVillers,"Patients with misophonia had strikingly similar clinical features, and yet the syndrome is not recognized in any of the current clinical diagnostic schemes,î he said in a statement. ìThis study demonstrates the critical brain changes as further evidence to convince a skeptical medical community that this is a genuine disorder.""",negative,0.158295691
Lampard,"Corona Real Cerrada: Dorada con perlas, almohadillado rojo y pedrer?a.",positive,0.631411493
abcd123,The Browns are super jealous of the way the Bengals finished that game.,positive,0.695077658
Lampard,"En el segundo cuartel, de azur (azul), unas gavillas de trigo de oro que es el escudo de  Canj?yar.",positive,0.741334379
varun kumar,I need to stop being a workaholic now and go home,negative,0.137556434
dilip sagar,"Sometimes you have to act like you don't care, even when you do.‚Äù",negative,0.44644016
Lampard,"Al timbre una corona mural de oro de seis torres, vistas cinco, aclarada y mampostada de sable.",positive,0.675349176
dilip sagar,"happy november, I can't sleep.",negative,0.28150925
Lampard,"El municipio est? atravesado por la carretera C-16, de Barcelona a Berga (Eix del Llobregat)",positive,0.729584455
Lampard,Informaci?n de la Generalitat de Catalunya;,positive,0.65749073
Lampard,"Ocean Heights 2, o tambi?n llamado DAMAC Heights, es un rascacielos que est? en construcci?n en la Dubai Marina de Dubai.",positive,0.609596193
Lampard, Arquitectura y Dise?o .,positive,0.66110009
Lampard,Propuestas para mejorar la imagen urbana en la ciudad de Puebla ;,positive,0.670423508
conor ,"Itís like writing novels is hard. You might think if all youíve got to do is make everything consistent and fit together and have the characters make sense, and thatís easy. But of course it isnít. We struggle to do it with our own lives, which are at least as complex as novels.",positive,0.641957462
conor ,"I'm now turning off all of the lights, hiding in my room &amp; playing gta while eating candy",positive,0.723664105
Lampard,El nombre del parque es en homenaje al cordob?s Jos? Mar?a Paz.,positive,0.60156256
mangesh,I need to stop being a workaholic now and go home,negative,0.137556434
kantharaj,@rahimaz_123 send me the pics of us!,positive,0.724574566
Lampard,Versiones de rimas de echar a suertes .,neutral,0.469626725
kamalamma,"dentify the brain signature of the trigger sounds,î Kumar said. ìThose signatures can be used for treatment such as for neuro-feedback, for example, where people can self-regulate their reactions by looking at what kind of brain activity is being produced."" ",positive,0.869372189
Lampard,El ni?o indicado dice un n?mero y se cuenta ese n?mero de jugadores.,neutral,0.578026175
Lampard,?Cu?ntas patas tiene el gato?,positive,0.66110009
Lampard,"Uno, dos tres, cuatro, cinco, seis, siete, ocho!",positive,0.675349057
Lampard,"En un caf? se rifa un gato, a ver qui?n le toca el n?mero cuatro: un, dos, tres, cuatro;",neutral,0.574322641
Lampard,En un plato de lentejas comen todos a la vez;,positive,0.666322649
virat kohli,"As the new human coronavirus spreads around the world, individuals and families should prepareóbut are we? The Centers for Disease Control has already said that it expects community transmission in the United States, and asked families to be ready for the possibility of a ìsignificant disruption to our lives.î",positive,0.846302509
harish,Yo soy bien buena con el y siempre me dice cosas en el salon,neutral,0.491803288
Cech,Un dos tres cuatro cinco;,positive,0.640656471
harish,"Perhaps people living in medieval societies were less preoccupied with the intricacies of other minds, simply because they didnít have to be. ",negative,0.115320511
Cech,"Cape nane nu, saliste tu, en el nombre de Jes?s.",positive,0.618198872
Cech,A la vuelta de la esquina; me encontr? con don Pinocho;,neutral,0.501460612
Cech,A la vuelta de la esquina; me encontr? con don Pinocho;,neutral,0.501460612
Cech,"Pimpinito fue a la guerra, pin-pon fuera.",positive,0.675989032
dia,"vulnerable because they are likely to have higher exposure to the virus. The actions that young, healthy people take, including reporting symptoms and following quarantine instructions, will have an important role in protecting the most vulnerable in society and in shaping the overall trajectory of the outbreak.",negative,0.327673167
Cech,"Pimpinito fue a la guera, pin-pon pa-ra fue-ra.",positive,0.705271304
Cech,"(el que le toca baja ese pu?o, hasta que s?lo queda uno)",positive,0.67511344
Cech,Los ?ltimos dos aunque sean hombre o mujer se dice lo mismo,positive,0.66110009
Cech,En los juegos infantiles suele haber f?rmulas o frases que sirven para librarse de participar en el sorteo.,positive,0.715736687
Cech,Safo! Lo utiliza cualquier persona para librarse de participar o de realizar una tarea indeseada.,positive,0.694760203
Cech,Sus estudios contribuyeron a que la American Psychiatric Association decidiera retirar la h,positive,0.638255537
vijay devarkonda,Be ready? But how? It seems to me that some people may be holding back from preparing because of their understandable dislike of associating such preparation with doomsday or ìprepperî subcultures,negative,0.425612301
Cech,"Acign? en franc?s y oficialmente (en bret?n Egineg), es una localidad y comuna francesa en la regi?n administrativa de Br",positive,0.716245592
Cech, Inventario patrimonial a cargo del DRAC;,positive,0.683451951
vijay devarkonda,"@eymi_marvess maybe Spanish radio is better than American radio, but you can't say one music is better than the other.",positive,0.772559106
Cech,"En la actualidad, pertenece al grupo Puig de cosm?tica.",neutral,0.531785369
Cech,La pel?cula fue rodada en Barcelona y Llanes (Asturias).,positive,0.710672081
Cech,"La Provincia del Guayas, subdivisi?n territorial del Ecuador.",positive,0.649728954
fire and rain,@oarandrea have u rubbed Rum or Whiskey on it?? How about Vicoden? I guess when we get older we have a whole bag of tricks. Fuck pain! üëé,neutral,0.555875957
Cech,"Adem?s, tambi?n conecta con la estaci?n de Zazpi Kaleak de la L?nea 4 de EuskoTren.",positive,0.686546147
Cech,"es una artista de manga japon?s. Sus trabajos incluyen c?mics como ,",neutral,0.558313429
fire and rain,@FoxNews @seanhannity lie is a lie. It don't matter if you know it or not. If you say it you are the one lying. Fact ck ur info for truth .,positive,0.93805325
Cech,"Amanlis, es una localidad y comuna francesa en la regi?n administrativa de Breta?a,",positive,0.724125683
Cech,Sobre la bondad: una breve introducci?n a la ?tica;,positive,0.664865375
hanumesh,"""@allen__reid: Buddy be like: pull out for what bro??"" Tell em stop stealing my shit",neutral,0.541316032
Cech,Europop es un ?lbum de dance del popular grupo de italia de dance-pop  Eiffel 65. ,neutral,0.579592228
hanumesh,"In August 2016, I found myself wrung out and miserable over the state of the United Statesóthe vitriol of the presidential election, the deep chasms of reality where we all seemed to find ourselves. I wanted to get the hell away,",negative,0.0463515
chris gayle,but not just away. I wanted out. I wanted nothing that resembled where I was coming from. I wanted everything new.,negative,0.000479544
Cech,"Castillo de la Ville-Hu?, del siglo XIII reformado posteriormente",negative,0.34358409
Cech,Conjunto de terrenos aptos para ser incorporados al proceso de urbanizaci?n o en curso de incorporaci?n al mismo,positive,0.704019666
harish,"I chose Iceland, which was in the last few minutes of its tourist season, when the roads were about to become impassable. I packed my bags and decided I needed to get there not just before the roads went bad, ",negative,0.013794571
Cech,El Parque Nacional Gwaii Haanas y Sitio Patrimonial Haida es la combinaci?n de una Reserva Nacional y un sitio patrimonial localizado,positive,0.645819783
fire and rain,"The emergence of mind-focused literature may reflect the growing relevance of such attunement, as societies increasingly shed the rigid rules and roles that had imposed order on social interactions.",positive,0.754737139
Marcus,Au dÈbut je pensais que Youtube avait atteint un nouveau seuil ‡ cause de sa popularitÈ et que Áa devenait,neutral,0.534082651
Marcus,C'est vraiment pas propre comme article,positive,0.687441349
Marcus,Je suis sur que toutes les sondes de witbe sont calines par les operateurs qui ont vraiment envie de bien apparaitre dans,positive,0.636699498
Marcus,DADVSI c'est appliquÈ ?,positive,0.66110009
Marcus,"Que ce soit la rÈalitÈ ou le journalisme -comme tu sembles le penser- qui rattrape la parodie, c'est assez effrayant.",positive,0.718825102
Marcus,Pour l'instant bannir me semble un peu superflu.,neutral,0.511085987
Marcus,«a se fait dÈj‡ aux frontiËres et sans problËme,positive,0.752596378
Marcus,"Tu as des dÈtails? Les transports en commun de Lyon sortent souvent en tÍte des tests de qualitÈ,",neutral,0.587952018
Marcus,"C'est dommage parce que de trËs gros investissements ont ÈtÈ faits, en particulier pour les lignes de tram,",neutral,0.576078832
Marcus,Il y a une connexion en TGV + TER pour environ 45 Euro selon l'horaire. Je ne pense pas qu'un car coutre moins cher que Áa,positive,0.65909946
Marcus, ma prof de francais n'aime pas mon francais ecrit :( tu dois parler avec elle pour moi haha ,positive,0.819221675
Marcus,"En fait, je suis dans la recherche depuis un moment, et je n'ai pas de solution miracle. J'ai ÈtÈ aux Etats-unis et en ",neutral,0.599207699
Marcus,"Pour une fois je crois que le point godwin est justifiÈ. S'il y a rÈellement rÈchauffement, ce sera un catastrophe ‡",positive,0.63215965
Marcus,"Ce que j'aime en particulier dans WordReference, c'est qu'il permet de consulter ses archives de forums o˘ l'on",positive,0.714864075
Marcus,"Ceci dit, 30Ä je trouve Áa trËs bien pour de líillimitÈ (du vrai, pas celui de la 3G)",positive,0.691709876
Marcus,Je suis peut-Ítre le seul ‡ chercher ici ce que la presse FranÁaise ne fournit plus : ,positive,0.704662979
Marcus,"Oui, des idiots ont poussÈ un gars sur les rails, d'assez haut apparemment.",positive,0.694179118
Marcus,"Est-ce que ca suffit pour caractÈriser un ""phÈnomËne inquiÈtant""?",positive,0.650027812
Marcus,Y-a-t'il plus a cette headline que ces images vidÈos?,neutral,0.567512333
Marcus,"Ceci dit, une vache ne fait pas un troupeau.",positive,0.645574152
Marcus,"Comme on dit aux …tats-Unis, shit happens. ",positive,0.636094332
